,company_name,sic,office,industry,cik
CLAR,Clarus Corp,3949,Office of Manufacturing,"SPORTING & ATHLETIC GOODS, NEC",0000913277
CLBK,"Columbia Financial, Inc.",6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",0001723596
CLDT,Chatham Lodging Trust,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001476045
CLDX,"Celldex Therapeutics, Inc.",2835,Office of Life Sciences,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,0000744218
CLF,CLIFFS NATURAL RESOURCES INC.,1000,Office of Energy & Transportation,METAL MINING,0000764065
CLFD,"Clearfield, Inc.",3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,0000796505
CLH,CLEAN HARBORS INC,4955,Office of Energy & Transportation,HAZARDOUS WASTE MANAGEMENT,0000822818
CLNE,Clean Energy Fuels Corp.,4932,Office of Energy & Transportation,GAS & OTHER SERVICES COMBINED,0001368265
CLOV,"CLOVER HEALTH INVESTMENTS, CORP. /DE",6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,0001801170
CLPR,Clipper Realty Inc.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001649096
CLR,CONTINENTAL RESOURCES INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0000732834
CLSK,"CLEANSPARK, INC.",7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,0000827876
CLVT,CLARIVATE Plc,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,0001764046
CLW,Clearwater Paper Corp,2631,Office of Manufacturing,PAPERBOARD MILLS,0001441236
CLX,CLOROX CO /DE/,2842,Industrial Applications and Services,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",0000021076
CMA,COMERICA INC /NEW/,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,0000028412
CMAX,"CareMax, Inc.",8050,Industrial Applications and Services,SERVICES-NURSING & PERSONAL CARE FACILITIES,0001813914
CMBM,Cambium Networks Corp,3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,0001738177
CMC,COMMERCIAL METALS CO,3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",0000022444
CMCO,COLUMBUS MCKINNON CORP,3531,Office of Technology,CONSTRUCTION MACHINERY & EQUIP,0001005229
CMCSA,COMCAST CORP,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,0001166691
CME,CME GROUP INC.,6200,Office of Finance,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",0001156375
CMG,CHIPOTLE MEXICAN GRILL INC,5812,Office of Trade & Services,RETAIL-EATING PLACES,0001058090
CMI,CUMMINS INC,3510,Office of Technology,ENGINES & TURBINES,0000026172
CMLS,CUMULUS MEDIA INC,4832,Office of Technology,RADIO BROADCASTING STATIONS,0001058623
CMP,COMPASS MINERALS INTERNATIONAL INC,1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),0001227654
CMPO,"CompoSecure, Inc.",6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,0001823144
CMPR,CIMPRESS N.V.,2750,Office of Manufacturing,COMMERCIAL PRINTING,0001262976
CMRX,CHIMERIX INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001117480
CMS,CONSUMERS ENERGY CO,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,0000201533
CMTG,"Claros Mortgage Trust, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,0001666291
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,0000023197
CNA,CNA FINANCIAL CORP,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0000021175
CNC,CENTENE CORP,6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,0001071739
CNDT,CONDUENT Inc,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001677703
CNK,"Cinemark Holdings, Inc.",7830,Office of Trade & Services,SERVICES-MOTION PICTURE THEATERS,0001385280
CNM,"Core & Main, Inc.",5099,Office of Trade & Services,"WHOLESALE-DURABLE GOODS, NEC",0001856525
CNMD,CONMED CORP,3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,0000816956
CNNE,"Cannae Holdings, Inc.",5810,Office of Trade & Services,RETAIL-EATING & DRINKING PLACES,0001704720
CNO,"CNO Financial Group, Inc.",6321,Office of Finance,ACCIDENT & HEALTH INSURANCE,0001224608
CNOB,"ConnectOne Bancorp, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,0001462694
CNP,CENTERPOINT ENERGY INC,4911,Office of Energy & Transportation,ELECTRIC SERVICES,0001130310
CNR,"Cornerstone Building Brands, Inc.",3448,Office of Manufacturing,PREFABRICATED METAL BUILDINGS & COMPONENTS,0000883902
CNS,COHEN & STEERS INC,6282,Office of Finance,INVESTMENT ADVICE,0001284812
CNSL,"Consolidated Communications Holdings, Inc.",4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),0001304421
CNTY,CENTURY CASINOS INC /CO/,7011,Office of Real Estate & Construction,HOTELS & MOTELS,0000911147
CNVY,"Convey Health Solutions Holdings, Inc.",8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",0001787640
CNX,CONSOL Energy Inc,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,0001070412
CNXC,CNX Coal Resources LP,1220,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE MINING,0001637558
CNXN,PC CONNECTION INC,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,0001050377
COCO,CORINTHIAN COLLEGES INC,8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES,0001066134
CODI,Compass Group Diversified Holdings LLC,7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES,0001345122
COF,CAPITAL ONE FINANCIAL CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,0000927628
COGT,"Cogent Biosciences, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001622229
COHR,COHERENT INC,3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,0000021510
COHU,COHU INC,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,0000021535
COIN,"Coinbase Global, Inc.",6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,0001679788
COKE,COCA COLA BOTTLING CO CONSOLIDATED /DE/,2086,Office of Manufacturing,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,0000317540
COLB,COLUMBIA BANKING SYSTEM INC,6022,Office of Finance,STATE COMMERCIAL BANKS,0000887343
COLD,AMERICOLD REALTY TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001455863
COLL,"COLLEGIUM PHARMACEUTICAL, INC",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001267565
COLM,COLUMBIA SPORTSWEAR CO,2300,Office of Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,0001050797
COMM,"CommScope Holding Company, Inc.",3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,0001517228
COMP,"Compass, Inc.",7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,0001563190
CONN,CONNS INC,5731,Office of Trade & Services,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",0001223389
COO,COOPER COMPANIES INC,3851,Industrial Applications and Services,OPHTHALMIC GOODS,0000711404
COOK,"Traeger, Inc.",3630,Office of Manufacturing,HOUSEHOLD APPLIANCES,0001857853
COOP,Mr. Cooper Group Inc.,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,0000933136
COP,CONOCOPHILLIPS,2911,Office of Energy & Transportation,PETROLEUM REFINING,0001163165
CORT,CORCEPT THERAPEUTICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001088856
COST,COSTCO WHOLESALE CORP /NEW,5331,Office of Trade & Services,RETAIL-VARIETY STORES,0000909832
COTY,COTY INC.,2844,Industrial Applications and Services,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0001024305
COUP,COUPONS.com Inc,7310,Office of Trade & Services,SERVICES-ADVERTISING,0001115128
COUR,"Coursera, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001651562
COWN,"COWEN GROUP, INC.",6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",0001466538
CPB,CAMPBELL SOUP CO,2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS,0000016732
CPE,Callon Petroleum Co,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0000928022
CPF,CENTRAL PACIFIC FINANCIAL CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,0000701347
CPK,CHESAPEAKE UTILITIES CORP,4923,Office of Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION,0000019745
CPRI,Capri Holdings Ltd,3100,Office of Manufacturing,LEATHER & LEATHER PRODUCTS,0001530721
CPRT,COPART INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,0000900075
CPRX,"CATALYST PHARMACEUTICAL PARTNERS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001369568
CPSI,COMPUTER PROGRAMS & SYSTEMS INC,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,0001169445
CPSS,CONSUMER PORTFOLIO SERVICES INC,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,0000889609
CPT,CAMDEN PROPERTY TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000906345
CRAI,"CRA INTERNATIONAL, INC.",8111,Office of Trade & Services,SERVICES-LEGAL SERVICES,0001053706
CRBU,"Caribou Biosciences, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001619856
CRC,CHROMCRAFT REVINGTON INC,2510,Office of Manufacturing,HOUSEHOLD FURNITURE,0000884130
CRD.A,CRAWFORD & CO,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",0000025475
CRDO,Credo Technology Group Holding Ltd,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0001807794
CRGY,Crescent Energy Co,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0001866175
CRI,CARTERS INC,2300,Office of Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,0001060822
CRK,COMSTOCK RESOURCES INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0000023194
CRL,CHARLES RIVER LABORATORIES INTERNATIONAL INC,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,0001100682
CRM,SALESFORCE COM INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001108524
CRMT,AMERICAS CARMART INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,0000799850
CRNC,Cerence Inc.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001768267
CRNX,"Crinetics Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001658247
CROX,"Crocs, Inc.",3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR,0001334036
CRS,CARPENTER TECHNOLOGY CORP,3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",0000017843
CRSR,"Corsair Gaming, Inc.",3577,Office of Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC",0001743759
CRUS,CIRRUS LOGIC INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000772406
CRVL,CORVEL CORP,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",0000874866
CRWD,"CrowdStrike Holdings, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001535527
CSCO,CISCO SYSTEMS INC,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,0000858877
CSGP,COSTAR GROUP INC,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001057352
CSGS,CSG SYSTEMS INTERNATIONAL INC,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,0001005757
CSII,Cardiovascular Systems Inc,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0001180145
CSL,CARLISLE COMPANIES INC,3060,Office of Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC",0000790051
CSR,INVESTORS REAL ESTATE TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000798359
CSTL,CASTLE BIOSCIENCES INC,8071,Industrial Applications and Services,SERVICES-MEDICAL LABORATORIES,0001447362
CSTR,COINSTAR INC,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,0000941604
CSV,CARRIAGE SERVICES INC,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,0001016281
CSWI,"CSW INDUSTRIALS, INC.",2891,Industrial Applications and Services,ADHESIVES & SEALANTS,0001624794
CSX,CSX CORP,4011,Office of Energy & Transportation,"RAILROADS, LINE-HAUL OPERATING",0000277948
CTAS,CINTAS CORP,2320,Office of Manufacturing,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",0000723254
CTBI,COMMUNITY TRUST BANCORP INC /KY/,6022,Office of Finance,STATE COMMERCIAL BANKS,0000350852
CTIC,CELL THERAPEUTICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0000891293
CTKB,"Cytek Biosciences, Inc.",3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,0001831915
CTLP,"CANTALOUPE, INC.",3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),0000896429
CTLT,"Catalent, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001596783
CTO,CONSOLIDATED TOMOKA LAND CO,6500,Office of Real Estate & Construction,REAL ESTATE,0000023795
CTOS,"Custom Truck One Source, Inc.",7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",0001709682
CTRA,"Contura Energy, Inc.",1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,0001704715
CTRE,"CareTrust REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001590717
CTRN,Citi Trends Inc,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,0001318484
CTS,CTS CORP,3670,Office of Manufacturing,ELECTRONIC COMPONENTS & ACCESSORIES,0000026058
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,0001058290
CTT,"CatchMark Timber Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001341141
CTV,Innovid Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001835378
CTVA,"Corteva, Inc.",100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,0001755672
CTXS,CITRIX SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000877890
CUBE,CubeSmart,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001298675
CUBI,"Customers Bancorp, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,0001488813
CURO,CURO Group Holdings Corp.,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,0001711291
CURV,Torrid Holdings Inc.,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,0001792781
CUTR,CUTERA INC,3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,0001162461
CUZ,COUSINS PROPERTIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000025232
CVBF,CVB FINANCIAL CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,0000354647
CVCO,CAVCO INDUSTRIES INC,2451,Office of Manufacturing,MOBILE HOMES,0000278166
CVET,"COVETRUS, INC.",5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES,0001752836
CVGW,CALAVO GROWERS INC,700,Industrial Applications and Services,AGRICULTURAL SERVICES,0001133470
CVI,CVR ENERGY INC,2911,Office of Energy & Transportation,PETROLEUM REFINING,0001376139
CVLG,"COVENANT LOGISTICS GROUP, INC.",4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),0000928658
CVLT,COMMVAULT SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001169561
CVNA,CARVANA CO.,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,0001690820
CVS,CVS CAREMARK CORP,5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES,0000064803
CVT,CVENT INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001122897
CVX,CHEVRON CORP,2911,Office of Energy & Transportation,PETROLEUM REFINING,0000093410
CW,CURTISS WRIGHT CORP,3590,Office of Technology,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,0000026324
CWEN,"Clearway Energy, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,0001567683
CWEN.A,"Clearway Energy, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,0001567683
CWH,CommonWealth REIT,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0000803649
CWK,Cushman & Wakefield plc,6500,Office of Real Estate & Construction,REAL ESTATE,0001628369
CWST,CASELLA WASTE SYSTEMS INC,4953,Office of Energy & Transportation,REFUSE SYSTEMS,0000911177
CWT,CALIFORNIA WATER SERVICE GROUP,4941,Office of Energy & Transportation,WATER SUPPLY,0001035201
CXW,"CoreCivic, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001070985
CYBE,CYBEROPTICS CORP,3827,Industrial Applications and Services,OPTICAL INSTRUMENTS & LENSES,0000768411
CYH,COMMUNITY HEALTH SYSTEMS INC,8062,Industrial Applications and Services,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",0001108109
CYRX,"Cryoport, Inc.",3086,Industrial Applications and Services,PLASTICS FOAM PRODUCTS,0001124524
CYTK,CYTOKINETICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001061983
CYXT,"Cyxtera Technologies, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0001794905
CZNC,CITIZENS & NORTHERN CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,0000810958
CZR,CAESARS ENTERTAINMENT Corp,7011,Office of Real Estate & Construction,HOTELS & MOTELS,0000858339
D,VIRGINIA ELECTRIC & POWER CO,4911,Office of Energy & Transportation,ELECTRIC SERVICES,0000103682
DAL,DELTA AIR LINES INC /DE/,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",0000027904
DAN,DANA HOLDING CORP,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,0000026780
DAR,DARLING INTERNATIONAL INC,2070,Office of Manufacturing,FATS & OILS,0000916540
DASH,"DoorDash, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001792789
DAWN,"Day One Biopharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001845337
DBD,DIEBOLD INC,3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),0000028823
DBI,Designer Brands Inc.,5661,Office of Trade & Services,RETAIL-SHOE STORES,0001319947
DBRG,"DigitalBridge Group, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001679688
DBX,"DROPBOX, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001467623
DCGO,DocGo Inc.,4100,Office of Energy & Transportation,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS,0001822359
DCI,DONALDSON CO INC,3564,Office of Technology,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,0000029644
DCO,DUCOMMUN INC /DE/,3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",0000030305
DCOM,DIME COMMUNITY BANCSHARES INC,6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",0001005409
DCPH,"Deciphera Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001654151
DCT,DCT Industrial Trust Inc.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001170991
DD,DUPONT E I DE NEMOURS & CO,2820,Industrial Applications and Services,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",0000030554
DDD,3D SYSTEMS CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0000910638
DDOG,"Datadog, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001561550
DDS,DILLARDS INC,5311,Office of Trade & Services,RETAIL-DEPARTMENT STORES,0000028917
DE,DEERE & CO,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,0000315189
DEA,"Easterly Government Properties, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001622194
DECK,DECKERS OUTDOOR CORP,3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR,0000910521
DEI,Douglas Emmett Inc,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001364250
DELL,DELL INC,3571,Office of Technology,ELECTRONIC COMPUTERS,0000826083
DEN,DENBURY INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,0000945764
DENN,DENNYS CORP,5812,Office of Trade & Services,RETAIL-EATING PLACES,0000852772
DFH,"Dream Finders Homes, Inc.",1531,Office of Real Estate & Construction,OPERATIVE BUILDERS,0001825088
DFIN,"Donnelley Financial Solutions, Inc.",7380,Office of Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES,0001669811
DFS,Discover Financial Services,6141,Office of Finance,PERSONAL CREDIT INSTITUTIONS,0001393612
DG,DOLLAR GENERAL CORP,5331,Office of Trade & Services,RETAIL-VARIETY STORES,0000029534
DGICA,DONEGAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",0000800457
DGII,DIGI INTERNATIONAL INC,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,0000854775
DGX,QUEST DIAGNOSTICS INC,8071,Industrial Applications and Services,SERVICES-MEDICAL LABORATORIES,0001022079
DH,Definitive Healthcare Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001861795
DHC,DIVERSIFIED HEALTHCARE TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001075415
DHI,HORTON D R INC /DE/,1531,Office of Real Estate & Construction,OPERATIVE BUILDERS,0000882184
DHIL,DIAMOND HILL INVESTMENT GROUP INC,6282,Office of Finance,INVESTMENT ADVICE,0000909108
DHR,DANAHER CORP /DE/,3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",0000313616
DHX,"DICE HOLDINGS, INC.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001393883
DIBS,"1stdibs.com, Inc.",5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,0001600641
DICE,"DICE Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,0001645569
DIN,"DineEquity, Inc",6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,0000049754
DIOD,DIODES INC /DEL/,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,0000029002
DIS,Walt Disney Co,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,0001744489
DISH,DISH Network CORP,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,0001001082
DJCO,DAILY JOURNAL CORP,2711,Office of Manufacturing,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,0000783412
DK,"Delek US Holdings, Inc.",2911,Office of Energy & Transportation,PETROLEUM REFINING,0001351541
DKNG,DraftKings Inc.,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,0001772757
DKS,DICKS SPORTING GOODS INC,5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,0001089063
DLB,"Dolby Laboratories, Inc.",3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,0001308547
DLR,"Digital Realty Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001297996
DLTH,DULUTH HOLDINGS INC.,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,0001649744
DLTR,DOLLAR TREE INC,5331,Office of Trade & Services,RETAIL-VARIETY STORES,0000935703
DLX,DELUXE CORP,2780,Office of Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",0000027996
DM,Dolan Co.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",0001396838
DMRC,Digimarc CORP,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,0001438231
DNA,"Ginkgo Bioworks Holdings, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001830214
DNB,DUN & BRADSTREET CORP/NW,7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",0001115222
DNLI,Denali Therapeutics Inc.,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0001714899
DNMR,"Danimer Scientific, Inc.",2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",0001779020
DNOW,NOW Inc.,3533,Office of Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT,0001599617
DNUT,"Krispy Kreme, Inc.",5400,Office of Trade & Services,RETAIL-FOOD STORES,0001857154
DO,DIAMOND OFFSHORE DRILLING INC,1381,Office of Energy & Transportation,DRILLING OIL & GAS WELLS,0000949039
DOC,Physicians Realty Trust,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,0001574540
DOCN,"DigitalOcean Holdings, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",0001582961
DOCS,"Doximity, Inc.",7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,0001516513
DOCU,DOCUSIGN INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,0001261333
