,company_name,sic,office,industry,cik
COMM,"CommScope Holding Company, Inc.",3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,1517228
COMP,"Compass, Inc.",7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,1563190
CONN,CONNS INC,5731,Office of Trade & Services,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",1223389
COO,COOPER COMPANIES INC,3851,Industrial Applications and Services,OPHTHALMIC GOODS,711404
COOK,"Traeger, Inc.",3630,Office of Manufacturing,HOUSEHOLD APPLIANCES,1857853
COOP,Mr. Cooper Group Inc.,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,933136
COP,CONOCOPHILLIPS,2911,Office of Energy & Transportation,PETROLEUM REFINING,1163165
CORT,CORCEPT THERAPEUTICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1088856
COST,COSTCO WHOLESALE CORP /NEW,5331,Office of Trade & Services,RETAIL-VARIETY STORES,909832
COTY,COTY INC.,2844,Industrial Applications and Services,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",1024305
COUP,COUPONS.com Inc,7310,Office of Trade & Services,SERVICES-ADVERTISING,1115128
COUR,"Coursera, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1651562
COWN,"COWEN GROUP, INC.",6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1466538
CPB,CAMPBELL SOUP CO,2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS,16732
CPE,Callon Petroleum Co,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,928022
CPF,CENTRAL PACIFIC FINANCIAL CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,701347
CPK,CHESAPEAKE UTILITIES CORP,4923,Office of Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION,19745
CPRI,Capri Holdings Ltd,3100,Office of Manufacturing,LEATHER & LEATHER PRODUCTS,1530721
CPRT,COPART INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,900075
CPRX,"CATALYST PHARMACEUTICAL PARTNERS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1369568
CPSI,COMPUTER PROGRAMS & SYSTEMS INC,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,1169445
CPSS,CONSUMER PORTFOLIO SERVICES INC,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,889609
CPT,CAMDEN PROPERTY TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,906345
CRAI,"CRA INTERNATIONAL, INC.",8111,Office of Trade & Services,SERVICES-LEGAL SERVICES,1053706
CRBU,"Caribou Biosciences, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1619856
CRC,CHROMCRAFT REVINGTON INC,2510,Office of Manufacturing,HOUSEHOLD FURNITURE,884130
CRD.A,CRAWFORD & CO,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",25475
CRDO,Credo Technology Group Holding Ltd,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1807794
CRGY,Crescent Energy Co,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1866175
CRI,CARTERS INC,2300,Office of Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,1060822
CRK,COMSTOCK RESOURCES INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,23194
CRL,CHARLES RIVER LABORATORIES INTERNATIONAL INC,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1100682
CRM,SALESFORCE COM INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1108524
CRMT,AMERICAS CARMART INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,799850
CRNC,Cerence Inc.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1768267
CRNX,"Crinetics Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1658247
CROX,"Crocs, Inc.",3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR,1334036
CRS,CARPENTER TECHNOLOGY CORP,3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",17843
CRSR,"Corsair Gaming, Inc.",3577,Office of Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC",1743759
CRUS,CIRRUS LOGIC INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,772406
CRVL,CORVEL CORP,6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",874866
CRWD,"CrowdStrike Holdings, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1535527
CSCO,CISCO SYSTEMS INC,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,858877
CSGP,COSTAR GROUP INC,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1057352
CSGS,CSG SYSTEMS INTERNATIONAL INC,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1005757
CSII,Cardiovascular Systems Inc,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1180145
CSL,CARLISLE COMPANIES INC,3060,Office of Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC",790051
CSR,INVESTORS REAL ESTATE TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,798359
CSTL,CASTLE BIOSCIENCES INC,8071,Industrial Applications and Services,SERVICES-MEDICAL LABORATORIES,1447362
CSTR,COINSTAR INC,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,941604
CSV,CARRIAGE SERVICES INC,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,1016281
CSWI,"CSW INDUSTRIALS, INC.",2891,Industrial Applications and Services,ADHESIVES & SEALANTS,1624794
CSX,CSX CORP,4011,Office of Energy & Transportation,"RAILROADS, LINE-HAUL OPERATING",277948
CTAS,CINTAS CORP,2320,Office of Manufacturing,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",723254
CTBI,COMMUNITY TRUST BANCORP INC /KY/,6022,Office of Finance,STATE COMMERCIAL BANKS,350852
CTIC,CELL THERAPEUTICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,891293
CTKB,"Cytek Biosciences, Inc.",3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,1831915
CTLP,"CANTALOUPE, INC.",3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),896429
CTLT,"Catalent, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1596783
CTO,CONSOLIDATED TOMOKA LAND CO,6500,Office of Real Estate & Construction,REAL ESTATE,23795
CTOS,"Custom Truck One Source, Inc.",7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",1709682
CTRA,"Contura Energy, Inc.",1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING,1704715
CTRE,"CareTrust REIT, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1590717
CTRN,Citi Trends Inc,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,1318484
CTS,CTS CORP,3670,Office of Manufacturing,ELECTRONIC COMPONENTS & ACCESSORIES,26058
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,1058290
CTT,"CatchMark Timber Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1341141
CTV,Innovid Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1835378
CTVA,"Corteva, Inc.",100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS,1755672
CTXS,CITRIX SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,877890
CUBE,CubeSmart,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1298675
CUBI,"Customers Bancorp, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,1488813
CURO,CURO Group Holdings Corp.,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,1711291
CURV,Torrid Holdings Inc.,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,1792781
CUTR,CUTERA INC,3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,1162461
CUZ,COUSINS PROPERTIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,25232
CVBF,CVB FINANCIAL CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,354647
CVCO,CAVCO INDUSTRIES INC,2451,Office of Manufacturing,MOBILE HOMES,278166
CVET,"COVETRUS, INC.",5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES,1752836
CVGW,CALAVO GROWERS INC,700,Industrial Applications and Services,AGRICULTURAL SERVICES,1133470
CVI,CVR ENERGY INC,2911,Office of Energy & Transportation,PETROLEUM REFINING,1376139
CVLG,"COVENANT LOGISTICS GROUP, INC.",4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),928658
CVLT,COMMVAULT SYSTEMS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1169561
CVNA,CARVANA CO.,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1690820
CVS,CVS CAREMARK CORP,5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES,64803
CVT,CVENT INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1122897
CVX,CHEVRON CORP,2911,Office of Energy & Transportation,PETROLEUM REFINING,93410
CW,CURTISS WRIGHT CORP,3590,Office of Technology,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,26324
CWEN,"Clearway Energy, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,1567683
CWEN.A,"Clearway Energy, Inc.",4911,Office of Energy & Transportation,ELECTRIC SERVICES,1567683
CWH,CommonWealth REIT,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,803649
CWK,Cushman & Wakefield plc,6500,Office of Real Estate & Construction,REAL ESTATE,1628369
CWST,CASELLA WASTE SYSTEMS INC,4953,Office of Energy & Transportation,REFUSE SYSTEMS,911177
CWT,CALIFORNIA WATER SERVICE GROUP,4941,Office of Energy & Transportation,WATER SUPPLY,1035201
CXW,"CoreCivic, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1070985
CYBE,CYBEROPTICS CORP,3827,Industrial Applications and Services,OPTICAL INSTRUMENTS & LENSES,768411
CYH,COMMUNITY HEALTH SYSTEMS INC,8062,Industrial Applications and Services,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",1108109
CYRX,"Cryoport, Inc.",3086,Industrial Applications and Services,PLASTICS FOAM PRODUCTS,1124524
CYTK,CYTOKINETICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1061983
CYXT,"Cyxtera Technologies, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1794905
CZNC,CITIZENS & NORTHERN CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,810958
CZR,CAESARS ENTERTAINMENT Corp,7011,Office of Real Estate & Construction,HOTELS & MOTELS,858339
D,VIRGINIA ELECTRIC & POWER CO,4911,Office of Energy & Transportation,ELECTRIC SERVICES,103682
DAL,DELTA AIR LINES INC /DE/,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",27904
DAN,DANA HOLDING CORP,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,26780
DAR,DARLING INTERNATIONAL INC,2070,Office of Manufacturing,FATS & OILS,916540
DASH,"DoorDash, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1792789
DAWN,"Day One Biopharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1845337
DBD,DIEBOLD INC,3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),28823
DBI,Designer Brands Inc.,5661,Office of Trade & Services,RETAIL-SHOE STORES,1319947
DBRG,"DigitalBridge Group, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1679688
DBX,"DROPBOX, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1467623
DCGO,DocGo Inc.,4100,Office of Energy & Transportation,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS,1822359
DCI,DONALDSON CO INC,3564,Office of Technology,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,29644
DCO,DUCOMMUN INC /DE/,3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",30305
DCOM,DIME COMMUNITY BANCSHARES INC,6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1005409
DCPH,"Deciphera Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1654151
DCT,DCT Industrial Trust Inc.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1170991
DD,DUPONT E I DE NEMOURS & CO,2820,Industrial Applications and Services,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",30554
DDD,3D SYSTEMS CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,910638
DDOG,"Datadog, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1561550
DDS,DILLARDS INC,5311,Office of Trade & Services,RETAIL-DEPARTMENT STORES,28917
DE,DEERE & CO,3523,Office of Technology,FARM MACHINERY & EQUIPMENT,315189
DEA,"Easterly Government Properties, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1622194
DECK,DECKERS OUTDOOR CORP,3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR,910521
DEI,Douglas Emmett Inc,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1364250
DELL,DELL INC,3571,Office of Technology,ELECTRONIC COMPUTERS,826083
DEN,DENBURY INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,945764
DENN,DENNYS CORP,5812,Office of Trade & Services,RETAIL-EATING PLACES,852772
DFH,"Dream Finders Homes, Inc.",1531,Office of Real Estate & Construction,OPERATIVE BUILDERS,1825088
DFIN,"Donnelley Financial Solutions, Inc.",7380,Office of Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES,1669811
DFS,Discover Financial Services,6141,Office of Finance,PERSONAL CREDIT INSTITUTIONS,1393612
DG,DOLLAR GENERAL CORP,5331,Office of Trade & Services,RETAIL-VARIETY STORES,29534
DGICA,DONEGAL GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",800457
DGII,DIGI INTERNATIONAL INC,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,854775
DGX,QUEST DIAGNOSTICS INC,8071,Industrial Applications and Services,SERVICES-MEDICAL LABORATORIES,1022079
DH,Definitive Healthcare Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1861795
DHC,DIVERSIFIED HEALTHCARE TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1075415
DHI,HORTON D R INC /DE/,1531,Office of Real Estate & Construction,OPERATIVE BUILDERS,882184
DHIL,DIAMOND HILL INVESTMENT GROUP INC,6282,Office of Finance,INVESTMENT ADVICE,909108
DHR,DANAHER CORP /DE/,3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",313616
DHX,"DICE HOLDINGS, INC.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1393883
DIBS,"1stdibs.com, Inc.",5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,1600641
DICE,"DICE Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1645569
DIN,"DineEquity, Inc",6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,49754
DIOD,DIODES INC /DEL/,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,29002
DIS,Walt Disney Co,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1744489
DISH,DISH Network CORP,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,1001082
DJCO,DAILY JOURNAL CORP,2711,Office of Manufacturing,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,783412
DK,"Delek US Holdings, Inc.",2911,Office of Energy & Transportation,PETROLEUM REFINING,1351541
DKNG,DraftKings Inc.,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1772757
DKS,DICKS SPORTING GOODS INC,5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,1089063
DLB,"Dolby Laboratories, Inc.",3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,1308547
DLR,"Digital Realty Trust, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1297996
DLTH,DULUTH HOLDINGS INC.,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES,1649744
DLTR,DOLLAR TREE INC,5331,Office of Trade & Services,RETAIL-VARIETY STORES,935703
DLX,DELUXE CORP,2780,Office of Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",27996
DM,Dolan Co.,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1396838
DMRC,Digimarc CORP,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1438231
DNA,"Ginkgo Bioworks Holdings, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1830214
DNB,DUN & BRADSTREET CORP/NW,7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",1115222
DNLI,Denali Therapeutics Inc.,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1714899
DNMR,"Danimer Scientific, Inc.",2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",1779020
DNOW,NOW Inc.,3533,Office of Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT,1599617
DNUT,"Krispy Kreme, Inc.",5400,Office of Trade & Services,RETAIL-FOOD STORES,1857154
DO,DIAMOND OFFSHORE DRILLING INC,1381,Office of Energy & Transportation,DRILLING OIL & GAS WELLS,949039
DOC,Physicians Realty Trust,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1574540
DOCN,"DigitalOcean Holdings, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1582961
DOCS,"Doximity, Inc.",7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,1516513
DOCU,DOCUSIGN INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1261333
DOMA,"Doma Holdings, Inc.",6361,Office of Finance,TITLE INSURANCE,1722438
DOMO,"DOMO, INC.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1505952
DOOR,MASONITE INTERNATIONAL CORP,2430,Office of Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",893691
DORM,"Dorman Products, Inc.",3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,868780
DOUG,Douglas Elliman Inc.,6531,Office of Real Estate & Construction,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),1878897
DOV,DOVER CORP,3530,Office of Technology,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",29905
DOW,DOW CHEMICAL CO /DE/,2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",29915
DPZ,DOMINOS PIZZA INC,5140,Office of Trade & Services,WHOLESALE-GROCERIES & RELATED PRODUCTS,1286681
DRE,DUKE REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,783280
DRH,DiamondRock Hospitality Co,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1298946
DRI,DARDEN RESTAURANTS INC,5812,Office of Trade & Services,RETAIL-EATING PLACES,940944
DRQ,DRIL-QUIP INC,3533,Office of Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT,1042893
DRVN,Driven Brands Holdings Inc.,7500,Office of Trade & Services,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING",1804745
DSEY,"Diversey Holdings, Ltd.",2842,Industrial Applications and Services,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",1831617
DSGN,"Design Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1807120
DSKE,"Daseke, Inc.",4700,Office of Energy & Transportation,TRANSPORTATION SERVICES,1642453
DSP,Viant Technology Inc.,7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1828791
DT,"Dynatrace, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1773383
DTC,"Solo Brands, Inc.",3949,Office of Manufacturing,"SPORTING & ATHLETIC GOODS, NEC",1870600
DTE,DTE ENERGY CO,4911,Office of Energy & Transportation,ELECTRIC SERVICES,936340
DTM,"DT Midstream, Inc.",4922,Office of Energy & Transportation,NATURAL GAS TRANSMISSION,1842022
DUK,Duke Energy CORP,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,1326160
DUOL,"Duolingo, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1562088
DV,AeroVironment Inc,3721,Office of Manufacturing,AIRCRAFT,1368622
DVA,DAVITA INC,8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",927066
DVAX,DYNAVAX TECHNOLOGIES CORP,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1029142
DVN,DEVON ENERGY CORP/DE,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1090012
DX,DYNEX CAPITAL INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,826675
DXC,DXC Technology Co,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1688568
DXCM,DEXCOM INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1093557
DXLG,"DESTINATION XL GROUP, INC.",5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,813298
DXPE,DXP ENTERPRISES INC,5084,Office of Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,1020710
DY,DYCOM INDUSTRIES INC,1623,Office of Real Estate & Construction,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",67215
DYN,DYNEGY HOLDINGS INC,4911,Office of Energy & Transportation,ELECTRIC SERVICES,1105055
DZSI,DASAN ZHONE SOLUTIONS INC,3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,1101680
EA,ELECTRONIC ARTS INC.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,712515
EAF,GRAFTECH INTERNATIONAL LTD,3620,Office of Manufacturing,ELECTRICAL INDUSTRIAL APPARATUS,931148
EAT,BRINKER INTERNATIONAL INC,5812,Office of Trade & Services,RETAIL-EATING PLACES,703351
EB,"Eventbrite, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1475115
EBAY,EBAY INC,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1065088
EBC,"Eastern Bankshares, Inc.",6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1810546
EBF,"ENNIS, INC.",2761,Office of Manufacturing,MANIFOLD BUSINESS FORMS,33002
EBIX,EBIX INC,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,814549
EBS,Emergent BioSolutions Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1367644
EBTC,ENTERPRISE BANCORP INC /MA/,6022,Office of Finance,STATE COMMERCIAL BANKS,1018399
ECL,ECOLAB INC,2840,Industrial Applications and Services,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",31462
ECOM,CHANNELADVISOR CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1169652
ECPG,ENCORE CAPITAL GROUP INC,6153,Office of Finance,SHORT-TERM BUSINESS CREDIT INSTITUTIONS,1084961
ECVT,Ecovyst Inc.,2800,Industrial Applications and Services,CHEMICALS & ALLIED PRODUCTS,1708035
ED,CONSOLIDATED EDISON CO OF NEW YORK INC,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,23632
EDIT,"Editas Medicine, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1650664
EE,EL PASO ELECTRIC CO /TX/,4911,Office of Energy & Transportation,ELECTRIC SERVICES,31978
EEFT,EURONET WORLDWIDE INC,6099,Office of Finance,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC",1029199
EFC,Ellington Financial LLC,6500,Office of Real Estate & Construction,REAL ESTATE,1411342
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,1025835
EFX,EQUIFAX INC,7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",33185
EGAN,EGAIN COMMUNICATIONS CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1066194
EGBN,EAGLE BANCORP INC,6022,Office of Finance,STATE COMMERCIAL BANKS,1050441
EGHT,8X8 INC /DE/,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),1023731
EGLE,Eagle Bulk Shipping Inc.,4412,Office of Energy & Transportation,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,1322439
EGP,EASTGROUP PROPERTIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,49600
EGRX,"EAGLE PHARMACEUTICALS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,827871
EGY,VAALCO ENERGY INC /DE/,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,894627
EHC,Encompass Health Corp,8060,Industrial Applications and Services,SERVICES-HOSPITALS,785161
EHTH,"eHealth, Inc.",6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",1333493
EIG,"Employers Holdings, Inc.",6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1379041
EIGR,"Eiger BioPharmaceuticals, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1305253
